Question,Answer A,Answer B,Answer C,Answer D,Correct code,Correct answer
What is the Full form of R.A.M?,Robust Access Memory,Real Automatic Machine,Random Access Memory,Random Access Mind,C,Random Access Memory
Which gland releases the Growth Hormone?,Pineal gland,Pituitary gland,Adrenal glands,Pancreas,B,Pituitary gland
What is the shape of NH3 molecule?,Tetrahedral,Trigonal Pyramidal,Trigonal Bipyramidal,Triangle,B,Trigonal Pyramidal
How many chambers does a human heart have?,1,2,3,4,D,4
What does the Ohm's law state?,V=IR,R=VI,F=ma,F=BIL,A,V=IR
Elections in New Zealand take place after how many years?,4,3,2,1,B,3
What is the only thing that can move across dimensions?,Light,Time,Mass,Gravity,D,Gravity
How many carbons does a Benzene ring have?,6,8,10,12,A,6
Which one of these is an irrational number?,5.5,2,e,-23,C,e
What processes occur in the Mitochondria of a cell?,Urea cycle,Glycolysis,Boiling,Haematopoiesis,A,Urea cycle
